H,K,L,2THETA,D-VALUE,MULT,INTENSITY
2,-3,8,20.93,0.8258,2,10
1,-3,-8,20.93,0.8258,2,10
3,-3,0,21.01,0.8227,2,10.3
0,3,0,21.01,0.8227,2,10.3
3,0,0,21.01,0.8227,2,10.3
2,-2,13,21.13,0.8182,2,7
0,2,13,21.13,0.8182,2,7
3,-3,3,21.33,0.8105,2,3.8
3,-3,-3,21.33,0.8105,2,3.8
0,3,3,21.33,0.8105,2,3.8
0,3,-3,21.33,0.8105,2,3.8
3,0,3,21.33,0.8105,2,3.8
3,0,-3,21.33,0.8105,2,3.8
1,-1,17,21.85,0.7916,2,6.5
0,1,17,21.85,0.7916,2,6.5
0,0,18,21.91,0.7893,2,3.4
2,-1,15,21.92,0.7888,2,2
1,-2,15,21.92,0.7888,2,2
1,1,15,21.92,0.7888,2,2
2,0,14,22.07,0.7838,2,2.8
1,-3,10,22.18,0.7798,2,2.4
3,-1,10,22.18,0.7798,2,2.4
2,1,10,22.18,0.7798,2,2.4
3,-3,-6,22.26,0.7771,2,2.2
3,0,-6,22.26,0.7771,2,2.2
0,3,-6,22.26,0.7771,2,2.2
3,-3,6,22.26,0.7771,2,2.2
0,3,6,22.26,0.7771,2,2.2
3,0,6,22.26,0.7771,2,2.2
2,-3,11,22.88,0.7562,2,2
1,2,11,22.88,0.7562,2,2
3,-2,11,22.88,0.7562,2,2
3,0,-9,23.73,0.7295,2,3.6
3,-3,9,23.73,0.7295,2,3.6
3,-3,-9,23.73,0.7295,2,3.6
0,3,-9,23.73,0.7295,2,3.6
0,3,9,23.73,0.7295,2,3.6
3,0,9,23.73,0.7295,2,3.6
2,-2,16,24.02,0.7208,2,4.4
0,2,16,24.02,0.7208,2,4.4
1,0,19,24.2,0.7157,2,1.1
4,-2,0,24.31,0.7125,2,5.1
2,-4,0,24.31,0.7125,2,5.1
2,2,0,24.31,0.7125,2,5.1
1,-3,13,24.41,0.7095,2,3.5
2,1,13,24.41,0.7095,2,3.5
3,-1,13,24.41,0.7095,2,3.5
4,-2,3,24.59,0.7045,2,2
2,-4,-3,24.59,0.7045,2,2
2,-4,3,24.59,0.7045,2,2
4,-2,-3,24.59,0.7045,2,2
2,2,-3,24.59,0.7045,2,2
2,2,3,24.59,0.7045,2,2
2,0,17,25.04,0.692,2,3.4
1,-2,18,25.09,0.6905,2,1.7
1,1,18,25.09,0.6905,2,1.7
2,-1,18,25.09,0.6905,2,1.7
2,-3,14,25.23,0.6868,2,1.5
3,-2,14,25.23,0.6868,2,1.5
1,2,14,25.23,0.6868,2,1.5
4,-3,1,25.35,0.6837,2,2
3,-4,1,25.35,0.6837,2,2
1,-4,-1,25.35,0.6837,2,2
4,-1,-1,25.35,0.6837,2,2
3,1,-1,25.35,0.6837,2,2
1,3,1,25.35,0.6837,2,2
1,-1,20,25.39,0.6827,2,3
0,1,20,25.39,0.6827,2,3
2,-4,6,25.4,0.6822,2,1.1
2,-4,-6,25.4,0.6822,2,1.1
4,-2,6,25.4,0.6822,2,1.1
4,-2,-6,25.4,0.6822,2,1.1
2,2,6,25.4,0.6822,2,1.1
2,2,-6,25.4,0.6822,2,1.1
4,-3,-2,25.44,0.6813,2,1.1
3,-4,-2,25.44,0.6813,2,1.1
3,1,2,25.44,0.6813,2,1.1
1,-4,2,25.44,0.6813,2,1.1
4,-1,2,25.44,0.6813,2,1.1
1,3,-2,25.44,0.6813,2,1.1
0,0,21,25.62,0.6766,2,3.2
3,-3,12,25.66,0.6756,2,3.4
3,0,12,25.66,0.6756,2,3.4
0,3,12,25.66,0.6756,2,3.4
4,-3,4,25.79,0.6721,2,3.7
3,-4,4,25.79,0.6721,2,3.7
1,-4,-4,25.79,0.6721,2,3.7
4,-1,-4,25.79,0.6721,2,3.7
1,3,4,25.79,0.6721,2,3.7
3,1,-4,25.79,0.6721,2,3.7
1,3,-5,26.05,0.6655,2,2.1
4,-1,5,26.05,0.6655,2,2.1
4,-3,-5,26.05,0.6655,2,2.1
3,-4,-5,26.05,0.6655,2,2.1
1,-4,5,26.05,0.6655,2,2.1
3,1,5,26.05,0.6655,2,2.1
4,-2,-9,26.71,0.6494,2,2.1
2,-4,9,26.71,0.6494,2,2.1
2,2,-9,26.71,0.6494,2,2.1
4,-2,9,26.71,0.6494,2,2.1
2,-4,-9,26.71,0.6494,2,2.1
2,2,9,26.71,0.6494,2,2.1
4,-1,-7,26.74,0.6486,2,1.1
3,-4,7,26.74,0.6486,2,1.1
4,-3,7,26.74,0.6486,2,1.1
3,1,-7,26.74,0.6486,2,1.1
1,3,7,26.74,0.6486,2,1.1
1,-4,-7,26.74,0.6486,2,1.1
1,-3,16,26.97,0.6432,2,2.5
3,-1,16,26.97,0.6432,2,2.5
2,1,16,26.97,0.6432,2,2.5
2,-2,19,27.13,0.6395,2,0.7
0,2,19,27.13,0.6395,2,0.7
3,-4,-8,27.17,0.6387,2,2.7
1,-4,8,27.17,0.6387,2,2.7
4,-3,-8,27.17,0.6387,2,2.7
3,1,8,27.17,0.6387,2,2.7
1,3,-8,27.17,0.6387,2,2.7
4,-1,8,27.17,0.6387,2,2.7
1,0,22,27.78,0.6248,2,1.2
1,2,17,27.89,0.6225,2,2
3,-2,17,27.89,0.6225,2,2
2,-3,17,27.89,0.6225,2,2
3,-3,15,27.95,0.6211,2,0.7
0,3,15,27.95,0.6211,2,0.7
3,0,15,27.95,0.6211,2,0.7
3,-4,10,28.16,0.6167,2,0.7
4,-3,10,28.16,0.6167,2,0.7
1,3,10,28.16,0.6167,2,0.7
4,-4,-1,28.17,0.6164,2,1.2
4,0,1,28.17,0.6164,2,1.2
0,4,-1,28.17,0.6164,2,1.2
2,0,20,28.2,0.6157,2,1.8
4,-4,2,28.25,0.6147,2,0.6
0,4,2,28.25,0.6147,2,0.6
4,0,-2,28.25,0.6147,2,0.6
1,-2,21,28.41,0.6112,2,1.9
1,1,21,28.41,0.6112,2,1.9
2,-1,21,28.41,0.6112,2,1.9
2,-4,12,28.45,0.6105,2,2
